ACCOUNT_DOES_NOT_EXIST;Esta conta não existe.
USER_ALREADY_SET_YOU_AS_RECRUITER;{0} já te definiu como o recrutador(a) dele(a).
USER_ALREADY_SIGNED_IN;O usuário já está conectado, tente novamente em 1 minuto. Entre em contato com support@faeria.com se o problema persistir.
USER_NAME_INVALID;Os nomes de usuários só podem conter letras, dígitos, hifens e sublinhado.
USER_NAME_RESERVED;Esse nome de usuário está reservado
USER_NAME_SIZE_MAX_INVALID;O tamanho máximo para o nome de usuário é de {0}.
USER_NAME_SIZE_MIN_INVALID;O tamanho mínimo para o nome de usuário é de {0}.
USER_NOT_FOUND;Usuário não existe : {0}
WRONG_ACTIVATION_KEY;A chave de ativação inserida está incorreta.
WRONG_DECK_SIZE;Seu baralho precisa de {0} cartas para ser utilizado.
WRONG_LEVEL_FOR_ARENA;Você precisa ter nível {0} para entrar na Pandora.
WRONG_LEVEL_FOR_RANKED;Você precisa ser nível {0} para participar em jogos Ranqueados.
ACCOUNT_IS_BANNED;Esta conta está banida no momento.
NO_AVAILABLE_LORE_PAGES_LEFT;Nenhuma página de história restante!
WRONG_LEVEL_FOR_OVERSKY;Você precisa ser nível {0} para jogar o Céu-Acima.
WRONG_LEVEL_FOR_PUZZLE;Você precisa ser nível {0} para jogar o Quebra-cabeças.
WRONG_LEVEL_FOR_BOSS;Você precisa ser nível {0} para jogar os Chefões Mundiais.
WRONG_LEVEL_FOR_DRAGONS_LAIR;Você precisa ser nível {0} para entrar no Covil do Dragão.
PLATFORM_FRIENDS_ONLY_APPEAR_WHEN_ONLINE;Amigos nesta plataforma aparecem somente quando eles estão conectados.
FRIEND_ADDED_SUCCESSFULLY;Amigo adicionado com sucesso!
ALREADY_FRIENDS;Você já é amigo deste jogador.
