CARD_0001_BODY;젊은 사일랜드인들은 종종 영웅적인 모험가가 되는 것을 꿈꾸지만 슬프게도 실제로 모험을 떠나는 경우 그들은 단 하루도 버티지 못합니다.
CARD_0204_BODY;크로그는 한때 왕이 되는 것을 꿈꿨습니다. 그러나 너무 작다며 누구도 수긍하지 않았죠. 그래서 그는 많이 먹고, 크고 널찍해졌습니다. 그래도 그들은 안 된다고 했습니다. 그래서 거대한 연회를 열어 엄청난 음식과 마실 것들을 준비했습니다. 그의 종족 모두가 왔습니다. 크로그는 마침내 왕이 되었습니다. 음식이 없어지자, 그들도 사라졌습니다. 그러나 연회는 더 있을 거고, 그는 다시 왕이 될 겁니다.
CARD_0215_BODY;대부분의 악마들이 인간보단 짐승에 가까울 정도로 본능적인 존재지만 공포의 군주는 그 중에서도 가장 똑똑한 존재입니다. 사이퍼가 악마 평원에 나타나 그들을 학살하고 억지로 그 지역을 뺏기 전까지, 수 세기동안 그 지역의 지배권을 두고 싸웠습니다. 남은 군주들은 동쪽 섬으로 도망쳐 되돌아갈 기회를 기다리고 있습니다.
CARD_0218_BODY;전투에서 커다란 악마는 가끔 작은 악마를 입 안에 넣고 보호할 때가 있습니다. 싸움이 끝난 뒤 큰 놈이 작은 놈을 삼키는 빈도로 봤을 때, 외부인의 눈으로는 그곳이 진짜 안전한지 아닌지 불분명합니다.
CARD_0232_BODY;가루단이 헌신하는 땅과 불의 신 아오로스를 세계를 먹는 자 우로보로스가 삼켰을 때, 가루단은 분노와 슬픔에 휩싸였습니다. 가루단은 그 분노를 세계에 퍼뜨리곤 하지만 밤에는 혼자 차가운 황금의 침대에서 슬픔 속에 보냅니다.
CARD_0250_BODY;우로보로스가 처음으로 단잠을 방해받았을 때, 불타는 눈이 잠시동안 반짝 열렸고, 끔찍한 지옥불이 풀려 무한한 바다를 태워버리려 했습니다. 불의 신 아오로스는 이 지옥불을 길들여 최초의 불꽃 이그누스의 형태로 만들었습니다.
CARD_0253_BODY;칼림이 미르나스트에 대항하는 성전을 시작할 때, 전쟁 경험이 없는 많은 일반인들을 이끌었습니다. 이제 장인과 사제, 상인들도 확실한 병사가 되어 칼림이 모든 인간을 대학살하도록 이끌고 있습니다.
CARD_0256_BODY;오라드림은 감정적이며 변덕스러운 성격을 가진 종족입니다. 지단 수도회는 오라드림에게 집중, 기도, 명상을 가르칩니다. 오라드림에게 이러한 교육이 없다면 감정에 삼켜져 광적인 믿음에 몰릴 위험이 있습니다.
CARD_0260_BODY;전쟁의 천재 칼림은 미르나스트 제국에 대항하는 자신의 성전에서 역으로 노예가 되어 버렸습니다. 지단 스승이 경고한 대로 말이죠. 미르나스트 제국이 신성한 정수를 평범한 연료로 사용하는 걸 막기 위한 싸움이었지만, 오라드림 종족이 인류를 세상에서 없애는 걸 추구하기 시작하면서 성전은 대학살로 변질되었습니다.
CARD_0263_BODY;샤이탄은 종종 자신들이 사냥하고 있는 것들의 꿈을 방해하곤 합니다. 거리와는 상관없이요. 수많은 사람들이 마지막 악몽의 극심한 고통 때문에 죽었답니다.
CARD_0288_BODY;아자라이의 폭력성이 너무 강한 나머지 바람과 하늘의 신 아스타르는 아자라이가 세계를 파멸시키기 전에 아자라이를 가둬 버렸습니다. 그 후 한번 풀려났는데, 아자라이는 계속해서 사냥에만 집중하고 있습니다. 갖혀 있던 시간을 채우는데 열정적이죠.
CARD_0297_BODY;몇몇 샤이탄들은 우로보로스의 빛에 저주받기 전의 생을 기억할 정도로 오래 살았습니다. 같은 종족을 신경쓰지도 않은 채 알려지지 않은 목적을 향해 달려가는 동안, 나이는 그들을 커다란 힘과 결의로 가득 채웁니다.
CARD_0299_BODY;샤이탄들은 일반 생물처럼 번식하지 않습니다. 대신 우로보로스의 사제가 자신의 심장 속 화염에 강제로 불꽃을 튀겨 사로잡힌 영혼이 됩니다. 좋은 것을 다 태워버리고 악마만이 남을 때까지요.
CARD_0303_BODY;자신의 알 중 하나를 훔치는 바람에 화가 나서 마을을 부수려는 불사조를 돌려보냈을 때, 이오나는 오라드림들의 성자로 언명되었습니다. 그녀가 그 생물을 안았을 때, 분노는 사라지고 불사조 또한 빛의 속도로 사라졌습니다. 그 이후로 불사조의 황금빛이 이오나를 감쌌고, 이오나는 그녀의 지혜를 찾는 자들에게 정의와 자비를 나누어 줍니다.
CARD_0308_BODY;오스트레고스와 그의 형 얄미어는 유일하게 에오흘 바람 거인들로부터 살아난 자들입니다. 두 사람은 같이 솔라를 지배했지만, 우로보로스를 추종하는 파벌이 나타나자 오스트레고스는 그들을 지지하며 뱀의 힘을 추구하기 시작했습니다. 오스트레고스와 타락한 솔라가 우로보로스의 눈이 발하는 끔찍한 빛에 몸을 담궈 변형된 후 얄미어는 오스트레고스를 알려지지 않은 공허로 보내고 샤이탄을 세계에서 가장 구석진 곳으로 추방하였습니다.
CARD_0309_BODY;사막의 거래자는 용병들로 군대 하나를 꾸릴 수도 있지만 대부분은 스스로 싸우려고 합니다. 많은 사람들이 말끔히 차려입은 상인들을 무시했지만 - 실수의 대가로 심장 한가운데 화살 한 발.
CARD_0350_BODY;얄미어에게 그가 모르는 걸 알려주면 소원을 하나 들어준다는 전설이 있지만 이는 틀린 전설입니다. 사실 3개 이뤄주거든요.
CARD_0352_BODY;수 년동안 가이아 나무를 차지하는 데 실패한 황제는 영생의 나무가 하늘 너머에 자라고 있다는 걸 알게 되었습니다. 그는 제국 기술자들에게 쉬지 않고 일해서 비행선 함대를 만들라고 명령했습니다. 래디언스는 그 중에서도 가장 크고 강한 배입니다. 황제의 가장 오래된 친구 배넌이 새롭게 만들어진 제국 비행 함대의 제독이 되었답니다.
CARD_0356_BODY;세계에 남아 있는 신들은 대게 배고프고 이기적인 존재인지라 야생에 모인 풍부한 페어리아에 이끌립니다. 몇몇 드리아드들은 자연을 보호하기 위해 신 사냥꾼이 되어 모든 신들에게 숲에서 훔치는 걸로 만족하라고 경고하고 있습니다.
CARD_0357_BODY;악마들에게 통용되는 화폐는 피 뿐입니다. 전투에서 다른 악마의 힘이 필요하거나 신선한 시체를 얻으려면, 피를 흘릴 준비를 해야 합니다.
CARD_0362_BODY;신들의 시간 이래로 세계가 이리도 많은 운명의 실과 숙명적 인물로 가득 찼던 적은 없습니다. 무슨 조짐인지는 모르지만, 창조물들이 불확실한 상태에 놓여 있으며, 영웅 혹은 악당 한 명만으로 저울이 기울 수 있다는 건 확실합니다.
CARD_0366_BODY;사제 계층은 우로보로스의 축복을 샤이탄들에게 전파하고, 그들은 그 힘을 받아 변형됩니다. 그들에게는 기형이 된 신도들을 저 위쪽 어두운 땅의 전쟁터로 이끌 의무가 있습니다.
CARD_0504_BODY;귀중한 보물들을 캐며 행복한 시간을 보내던 고키는 삼촌 후고로의 모험에 신비함을 느껴 따라가다 실수로 판도라에 끌려 들어갔습니다. 그 이후 이 어린 트라이튼은 많은 모험담, 친구들을 위한 기념품 조금과 또다른 모험을 향한 갈망을 가지고 돌아왔습니다.
CARD_0505_BODY;푸른 하늘 고래는 하늘 고래류 중 가장 커다란 종입니다. 한 때는 창공의 구름 사이사이로 푸른 하늘 고래가 무리를 지어 몰려다녔었죠. 그러나 푸른 하늘 고래를 공중에 뜰 수 있게 해주는 지방질이 마을 하나를 통째로 공중에 띄울 수 있는 힘이 있다보니 사냥을 당했습니다. 황제가 재미 삼아 사냥하기도 했고요.. 덕분에 시간이 지나 그 수가 점점 줄어들더니 이제는 멸종 직전입니다. 모비 하나만 남았거든요.
CARD_0507_BODY;미르나스트의 지배자 중 가장 오랫동안 살아있는 카이오스는 제국을 번영과 과학 발전의 새 시대로 이끌었습니다. 하지만 페어리아를 기술 집약적이고 파괴적인 전쟁 무기의 연료로 사용하면서 황제의 적이 그를 찬양하는 자의 수보다 늘었죠.
CARD_0509_BODY;영생의 나무는 매년 농축된 페어리아를 가진 열매를 맺습니다. 태고적부터 라코아 성직자들은 이 열매를 수확하여 구름 사이에 그 힘을 퍼뜨려 비를 내리게 하는 의식에 사용했습니다. 물방울이 떨어질 때, 창공에 새로운 생명들이 자라나 낙원이 펼쳐집니다.
CARD_0512_BODY;단순한 상인이었던 후고로는 어느 날 판도라로 향하는 문을 발견했을 뿐만 아니라 여는 방법조차 알아냈습니다. 그 영역의 불가사의들은 후고로의 마음 속 욕심에 꺼지지 않는 불을 붙였고 그의 인생 목표는 판도라 심장부에서 가장 위대한 보물을 강탈하는 것이 되었습니다.
CARD_0516_BODY;그저 폐품을 줍는 기계였던 CAP-10은 기계공에 의해 조금 더 효율적이게 개조되었지만 일이 굉장히 어긋나버렸습니다. 이제 CAP-10은 자신의 몸을 강화시키기 위해 온 세계를 침략하여 찾을 수 있는 폐품이란 폐품은 다 노략하고 있습니다.
CARD_0519_BODY;우로보로스가 처음 자신의 불타오르는 눈을 깜박여 세계에 낮과 밤을 창조하였을 때, 이스타누와 그녀의 아이들의 빛에 휩싸였습니다. 뱀이 일어났을 때, 이 빛의 정령들은 눈의 열기와 악의를 피해 하늘 높이 올라가 별이 되었습니다. 그래서 이스타누만 남게 되었죠.
CARD_0521_BODY;황제가 창공을 침략할 당시 라코아족은 전쟁에 필요한 모든 기술들을 숙련해야 했습니다. 그 중 울라니의 권역에 있는 개구리 조련사들은 던지기 기술을 익혔습니다. 덕분에 개구리 조련사들은 독 있는 개구리를 놀랍도록 먼 거리에 정확하게 던질 수 있었습니다.
CARD_0532_BODY;영생의 나무를 돌보는 수많은 사제와 관리인들 중 울라니는 가장 헌신적이고 열정적입니다. 창공 아래 세계의 침략자가 왔을 때, 라코아족은 울라니를 중심으로 뭉쳤지만, 그녀의 기술과 노력에도 불구하고 황제가 나무를 더럽히는 것을 막을 수 없었습니다.
CARD_0601_BODY;한때 웃음과 기쁨이 가득한 아름다운 여인이었습니다. 그러나 수 년 전 그녀의 관심을 받고 싶어하던 사악한 영혼이 그녀의 아이를 살해한 이후로 단지 깊은 숲 속과 하늘에서 잃어버린 아이의 영혼을 찾는 존재가 되어버렸습니다.
CARD_0602_BODY;켈드란 스승에게 훈련받은 병사들은 황제의 자랑이었으며 창공 지배 계획의 일부였습니다. 이제 그들은 카이오스의 오염에 물들어 아무 감정 없이 창공을 황제의 이름으로 정화하고 다닙니다.
CARD_0603_BODY;창공의 뒤틀린 영장류들은 풍부한 페어리아 즙을 끝없이 갈망하는 상태에 놓여 있습니다. 그 즙들이 그들의 총명한 마음을 영감으로 채우던 때도 있었지만 지금은 악몽과 같은 생각만을 하게 만들어 폭력적으로 변하게 하죠.
CARD_0604_BODY;황제의 오염된 의지로 인해 이 병사들은 감정이 없고 지치지 않는 자동 기계가 되어 버렸습니다. 물질이나 휴식이 필요하지 않은, 마음 없는 제국 군단이 정복만을 추구하며 진군합니다. 모든 것이 적이고 모든 것을 강탈할 것 입니다.
CARD_0605_BODY;황제는 창공에 도달하면서 많은 미르나스트 과학기술자들도 데리고 왔습니다. 이 탐험가들은 차후에 활용할 수 있는 부유 섬을 조사하고 천연 자원을 탐사 하는데 열정적이었습니다. 하지만 오염의 때가 묻어버린 그들은 발견의 기쁨을 잊어버리고 찾는 모든 것을 착취할 생각만 하고 있답니다.
CARD_0606_BODY;한때 황제의 보안관 역할을 수행하던 긍지 높은 기사는 이제 분노에 차 적과 아군 모두를 파멸시켜버리는 노예로 전락했습니다. 그들 검의 마법을 오염시킨 힘은 그들이 체화한 고귀함도 더럽혔습니다.
CARD_0607_BODY;어둠을 망토 삼고 속삭임보다 조용한 어둠결 요정은 자연 속 스파이입니다. 그림자 사이를 쏜살같이 오다니며 세계의 모든 이벤트를 관찰합니다. 그리고는 형제자매 페어리들에게 비밀을 공유하죠.
CARD_0608_BODY;영생의 열매를 먹은 자는 가장 깊은 욕망이 끔찍하고 명료하게 드러나게되며, 그 욕망이 다른 모든 것은 불태워 버린다고 합니다. 그저 힘과 정복을 향해 채울 수 없는 갈망을 가지고 있었던 황제는 이제 힘과 정복 그 자체가 되어 버렸습니다.
CARD_0609_BODY;영생의 나무가 몰락한 이후 날이 갈수록 생태계가 오염되고 있습니다. 풀이 시들고 물은 독으로 변하며 물고기가 하늘에서 떨어집니다. 창공이 죽음과 괴물의 땅으로 바뀌는 것도 시간 문제입니다.
CARD_0610_BODY;하늘 피라냐는 수 킬로미터 밖에서도 피 냄새도 기가 막히게 잘 맡습니다. 다행히도 흔하지 않은 존재였습니다만 이제 죽음의 냄새가 모든 곳에 퍼지는 바람에 하늘 피라냐는 그들이 먹는 시체만큼 흔해져 버렸습니다.
CARD_0611_BODY;티리아의 거인들이 마법과 돌로 된 감옥에 가둬버린 히드라는 우로보로스의 새끼로서 창공 자체보다 더 오래된 존재입니다. 카이오스의 오염이 감옥을 약화시킨 탓에 가장 강력하고 포악한 히드라가 탈출하였고 땅을 다시 한 번 더 파괴하려 듭니다.
CARD_0612_BODY;혼자서 숲을 걷다\n벽이 있던 곳에 뿌리와 덩쿨\n주위엔 어둠, 춥고 짙으며\n나무와 가지, 보라색으로 아파보이고\n비명도 못 지른 채 갑작스럽게 뚝\n버드나무의 똑똑한 덫에 내 목숨 잃었네..
CARD_0613_BODY;이 멧돼지들에게서 나는 달콤한 썩은내는 묘하게 중독성 있습니다. 파리떼와 구더기떼뿐만 아니라 죽음과 부패를 찾아 다니는 커다란 시체 처리꾼도 끌어들인답니다.
CARD_0614_BODY;라코아족들에 따르면 깊은 숲 속에는 괴물같은 고양이가 있다고 합니다. 그들 영역의 그림자 진 길을 따라 걷는 생물은 무엇이든 사냥해 먹는다는 그 전설 속 생물이 이제 그들 보금자리에서 나왔습니다. 집이라 부르던 순수하고 원시적인 숲에서 한 발짝 멀어질 때마다 그들의 크기와 사악함이 커지고 있습니다.
CARD_0615_BODY;한때 판도라에서 가장 뛰어난 대장장이였던 발듀리온은 쩨쩨한 신들을 위한 장난감을 매번 만들어야 하는게 너무도 분했습니다. 그래서 발듀리온은 그가 만든 것들 중 가장 위대한 창조품인 파괴의 망치로 신들 몰래 꿈이 영역과 깨어있는 세계의 경계를 부숴버렸습니다. 그 때 만들어진 계곡은 마법의 문으로 봉인되었지만 발듀리온은 척박한 산을 돌아다니며 그의 앞길을 막는 것들을 박살낸다고 합니다.
CARD_0616_BODY;비록 증오와 분노의 영혼이지만 공정 거래를 준수합니다: 피에는 피로.
CARD_0617_BODY;카이오스의 오염이 시작되면서 창공은 평화로운 관리인들로부터 등을 돌렸습니다. 화염이 농경지와 숲을 모두 삼켜버렸고, 하늘 주민들은 고통과 분노를 라코아족에게 돌렸습니다.
CARD_0618_BODY;창공의 오염은 바람과 구름을 타고 전역에 퍼졌습니다. 그곳을 집으로 삼고 있던 연어들이 가장 먼저 어둡게 바뀌었죠. 이제 그들은 자기 보존이나 종족 번식따위 잊어버린 채 신의 성스러운 정수만을 빨아 먹으려 합니다.
CARD_0619_BODY;죽음은 끝이 아니다. 우리는 꿈 속을 살고 있으며, 다음에 언제 깨어날 지 모를 뿐이다. - 하늘의 신동 칼림
CARD_0620_BODY;오스트레고스는 우로보로스의 불꽃에 의하여 새로운 삶을 창조 할 수 있는 능력을 부여 받았지만 이는 솔렘에 비할바는 못됩니다. 솔렘은 아버지의 힘과 어머니의 속임수를 모두 가지고 있습니다. 이를 통해 솔렘은 아버지를 해방시키고 세상을 파멸로 이끌려 합니다.
CARD_0622_BODY;가이아가 야크는 초원 위에서 화목하게 번창하며 필요한 생물에게 털과 우유와 친근함을 주기 위해서 창조했다 라는 전설이 있습니다. 그녀의 아이들이 위험에 처한 지금, 전쟁을 위해 길러진 야크 군대들과 함께 어머니가 돌아왔습니다.
CARD_0623_BODY;영웅은 어떠한 절망적인 전쟁 상황 속에서도 투지를 발휘합니다. 그들은 온갖 괴기한 것들에 대항 할 수 있도록 사람들을 고무시켜주고, 그 사람들이 자신에게 거는 희망으로 더욱 강해집니다.
CARD_0624_BODY;황제가 복어를 잡아 요리하도록 명령하였습니다.그런데 복어 요리가 너무 맛있는 바람에 매일 저녁 만찬에 한 마리씩 황제에게 대령할 것을 선언하였습니다. 몇 달 뒤 제국 귀족들은 복어를 멸종 직전까지 잡아먹었습니다.
CARD_0625_BODY;안녕, 친구. 내가 자내에게 이렇게 대화하는 것이 이상한가, 그것보다 여기 설화를 위한 자리 아닌가? 잠깐! 내 비밀을 엿보려고 한 건가?!?!
CARD_0626_BODY;사파이어 야크는 야크 무리의 선생님으로써 창조되었으며 이내 페어리아의 숨겨진 비밀을 야크 무리에게 가르쳤습니다.
CARD_0627_BODY;이상한 냄새. 침입자. 단독. 약체. 혼자. 밤까지 미행. 관찰. 대기. 공격! 강철의 고통. 살의 맛. 침입자 도주. 추격. 탈출 불가. 피의 냄새. 깊게 박힌 이빨. 피의 맛. 침입자 고요. 승리의 포효. 좋은 사냥.
CARD_0628_BODY;에메랄드 야크는 야크 무리의 관리자로써 창조되었으며 다음 세대의 보석 야크를 보호 합니다.
CARD_0629_BODY;가이아가 우로보로스로부터 세계를 지키기 위해 자신을 희생했을 때 세 개의 씨앗이 그녀가 희생하며 내뿜는 빛에 닿아 거대한 힘으로 가득 찼습니다. 꽃의 정령이 그 중 하나를 발견하였고 그 씨앗을 신들에게 되돌려주기 위해 하늘로 올라갔으나 아무것도 찾지 못하고 잠에 빠져 버렸답니다. 씨앗은 그녀의 가슴에서 싹을 틔워 영생의 나무가 되었습니다.
CARD_0630_BODY;일반적인 생각과 다르게 용암을 휘감은 우파루파는 화산에 살지 않습니다. 악솔로들의 분비물은 너무 뜨거워서 장기간 노출되면 주변 바위는 물론 거상마저 녹여버립니다.
CARD_0640_BODY;언제나 뛰어난 제작자였던 라코아족은 그 재능을 전쟁 무기 만드는 데 사용하기 시작했습니다. 이미 라코아콥터가 하늘로 올라가 황제의 오염을 불로 정화하고 있습니다.
CARD_0641_BODY;루비 야크들은 어머니로부터 태어나 양치기들의 방패가 되었습니다. 어머니들의 아이들을 공격하는 이들에게 벌을 내리죠.
CARD_0642_BODY;과거에는 세계를 창조하는 신들과 거인들을 도왔던 수 많은 드래곤들이 있었습니다. 하지만 사려가 부족했던 신들은 용에게 번식 능력을 주지 않았습니다. 지금 용의 유령은 살아있는 용보다 훨씬 거대합니다.
