ACCEPT;Přijmout
CHAT_INPUT_PLACEHOLDER;/w jméno Vaše zpráva.
CHAT_TOOLTIP_DND_MODE;Režim nerušit. Pokud je povolený, toto okno se neotevře, když obdržíte zprávu. Zprávy budou přijímány potichu.
CHAT_TO_SOMEBODY;Pro [{0}]: {1}
CHEST_OPENING_NO_MORE_CHEST;Zvyšujte svou úroveň a plňte denní úkoly, abyste získali více truhel!
CHEST_OPENING_NO_MORE_MYTHIC_ITEMS;V tuto chvíli máte všechny mytické předměty. Vraťte se později.
CHOOSE_OTHER_BLUEPRINT;Změnit Vzorec
CLAIM_REWARDS;Vzít si svou výhru
CLEAR;Vyčistit
COLLECTION_FILTER_CARD_TYPE;Filtrovat podle typu karty
COLLECTION_FILTER_FAERIA_COST;Filtrovat podle ceny Faerie
COLLECTION_MODE;Tvorba
COLLECTION_SEARCH_PLACEHOLDER;Hledat...
CONFIRM;Potvrdit
CONNECTION_LOST_RECONNECTING;Spojení ztraceno\nSnažíme se vás znovu připojit...
CONNECTION_QUEUE_CAPTION;Vaše místo v řadě:
CONNECTION_QUEUE_TITLE;Servery jsou plné!
CONSTRUCTED_MODE;Hodnocený režim
CONSTRUCTED_RUN_DECK_NAME;Balíček pro Hodnocený režim
CO_OP_POPUP_JOIN_BUTTON_TEXT;Připojit se
CO_OP_POPUP_LOCKED_BUTTON_TEXT;Hrát
CO_OP_POPUP_LOCKED_BUTTON_NOTIFICATION_TEXT;Nejdříve je potřeba dohrát předchozí mise
CO_OP_POPUP_ALLY_SELECTION_TITLE;Pozvat spojence
CO_OP_POPUP_NO_ALLY;Nejsou dostupní žádní spojenci.
CO_OP_LOBBY_CANCELLED;Spojenec zrušil misi
COUPON_REDEEM;Uplatnit
CRAFT_CANNOT_DISENCHANT_CARD_FROM_DECK_WHILE_SEARCHING;Nemůžete odočarovat tuto kartu, zatímco hledáte hru.
CRAFT_LEGENDARY_ERROR;Legendární karty nelze ukovat.
CRAFT_GOLD_CARD_ERROR;Mytické karty nelze ukovat.
CRAFT_FOURTH_CARD;Už vlastníte 3 nebo více kopií této karty.
CRAFT_NOT_ENOUGH_CHARGES;Již jste spotřebovali všechny pokusy.
CRAFT_FULLY_CHARGED;Plno
CRAFT_ACCOUNT_LEVEL_TOO_LOW;Pro ukování této karty potřebujete minimálně úroveň {0}
CRAFT_MODE_BUTTON_TEXT_CONFIRM_CRAFT;Vytvořit
CRAFT_MODE_BUTTON_TEXT_CONFIRM_DISENCHANT;Odočarovat
CRAFT_MODE_BUTTON_TEXT_DISENCHANT_ALL_IN_EXCESS;Odočarovat přebytečné karty
CRAFT_MODE_UNAVAILABLE_TOOTIP;Musíte dosáhnout úrovně {0}, abyste mohli používat Tvorbu
CRAFT_SECOND_LEGENDARY_CARD;Už vlastníte tuto legendární kartu
CREATE_BLUEPRINT_DECK;Vytvořit
CREATE_YOUR_ACCOUNT;Vytvořit účet
DAILY_REWARD_NEXT;Příště
DAILY_REWARD_TITLE;Denní odměna za přihlášení
DAILY_REWARD_POPUP_TITLE;Denní bonus za přihlášení!
DECKEDITOR_GOLD_CARD_FILTER_TOGGLE_TEXT;Ukázat mytické?
DECKEDITOR_NON_GOLD_CARD_FILTER_TOGGLE_TEXT;Základní
DECKEDITOR_SAVETEXT;Uložit
DECKLAYOUT_INCOMPLETE_TEXT;Nedokončený
DECKSELECTION_SOLO_INFO;Tady si vybíráte balíčky pro mise. Chcete-li si vytvořit či upravit balíček, vraťte se do hlavního menu.
DECK_EDITOR_BUY_BATTLE_CHEST;Nakupte bitevní truhly, abyste získali více karet.
DECK_EDITOR_FILTER_NO_RESULT;Žádné karty neodpovídají vašim vyhledávacím požadavkům.
DECK_EDITOR_NO_FILTERED_CARD_IN_COLLECTION_BLUE;Nemáte žádné modré karty.
DECK_EDITOR_NO_FILTERED_CARD_IN_COLLECTION_GREEN;Nemáte zelené karty.
DECK_EDITOR_NO_FILTERED_CARD_IN_COLLECTION_HUMAN;Nemáte neutrální karty.
DECK_EDITOR_NO_FILTERED_CARD_IN_COLLECTION_RED;Nemáte žádné červené karty.
DECK_EDITOR_NO_FILTERED_CARD_IN_COLLECTION_YELLOW;Nemáte žádné žluté karty.
DECK_SIZE;Velikost Balíčku:
DECK_SLOT_PURCHASE;+5 balíčků navíc
DELETE;Smazat
DISCONNECT;Odpojeno
DISENCHANT_ALL_FOR_MEMORIA;+{0}
DISENCHANT_UNAVAILABLE_TOOTIP;Musíte mít více než {0} karet pro Odočarování
DONE;Hotovo
DROP_RUN;Odejít
DYNAMIC_BUNDLE_CONFIRM_WARNING;Dynamická nabídka: Již vlastníte některé z položek v této nabídce, podle čehož byla upravena cena.
EDIT;Upravit
ELITE_MISSIONS_BUTTON_TEXT;Bossové světa
ELITE_MISSIONS_BUTTON_TOOLTIP;Vyžaduje úroveň {0}
EMAIL_ADDRESS;E-mailová adresa
EMOTE_MENU_GREETINGS;Uvítání
EMOTE_MENU_OOPS;Ups
EMOTE_MENU_TAUNT;Provokace
EMOTE_MENU_UNIQUE;Speciální
EMOTE_MENU_WELL_PLAYED;Dobře zahráno
EMOTE_MENU_WOW;Wow
END_TURN;Ukončit tah
ENEMY_TURN;Protihráč táhne
ENTER_DECK_NAME;Napište jméno balíčku
ENTER_YOUR_RECRUITERS_NAME;Napište jméno vašeho náboráře...
EVENING;Večer
EVENT_BUTTON_TEXT_SEND;poslat
EVENT_EGG_HATCHING_HAS_EGG;Zdá se, že je váš inkubátor prázdný. Pokud najdete nové vajíčko, můžete se tu o něj starat!\n\nChcete-li své vlastní vajíčko, sledujte naše streamy na Twitchi FaeriaTV.\n\n<align="center"><link="https://www.twitch.tv/faeriatv">https://www.twitch.tv/faeriatv</link></align>
EVENT_EGG_HATCHING_NO_EGG;Vítejte ve svém inkubátoru. Vaše Vejce je zde v bezpečí a teple, dokud se nevylíhne!\nPodívejte se dolů a zkontrolujte, jestli je Vejce v bezpečí, a kdo ví, možná nebudete muset čekat dlouho...\nJakmile se vaše Vejce vylíhne, můžete ho nahradit dalším. Nezapomeňte sledovat naše další Monthly Cup Finals!
EVENT_HATCH_EGG_BUTTON;Nechat Vejce vylíhnout
EVENT_INPUT_FIELD_HINT_ENTER_EMAIL;Napište e-mail svého kamaráda
EVENT_TEXT_LOCK_OVERLAY;Druhý klíč odemknete vítězstvím v 5 hrách Pandory.
EVENT_TEXT_TITLE;Akce: Pozvěte své přátele
EXIT_CRAFT_MODE;Tvorba
FAERIA_AVERAGE;Průměr faerie
FRIENDLIST;Seznam přátel
FRIENDLIST_FRIEND_REQUEST;Zobrazit žádost o přátelství
FRIENDLIST_RECENTLY_PLAYED_SUGGESTION;Zobrazit doporučení
FRIENDLIST_STEAM_FRIEND_SUGGESTION;Zobrazit doporučení ze Steamu
FRIENDLIST_GAME_INVITE;Zobrazit pozvánku do hry
FRIENDLIST_DISCORD_HINT;Připojte se na náš Discord server!
FRIENDLIST_FRIEND;Přítel
FRIENDLIST_INGAME;Ve hře
FRIENDLIST_INVITE_TO_LOBBY;Pozvat do místnosti
FRIENDLIST_INVITE_TO_TOURNAMENT;Pozvat na turnaj
FRIENDLIST_IN_LOBBY;V místnosti
FRIENDLIST_OFFLINE;Offline
FRIENDLIST_ONLINE;Online
FRIENDLIST_RECENTLY_PLAYED;Nedávný protihráč
FRIENDLIST_REMOVE;Odebrat přítele
FRIENDLIST_REQUEST_INITIATOR;Čeká se na odpověď
FRIENDLIST_REQUEST_RECIPIENT;Žádost o přátelství
FRIENDLIST_SEND_MESSAGE;Poslat zprávu
FRIENDLIST_SPECTATE_GAME;Sledovat hru
FRIENDLIST_SPECTATING;Sleduje
FRIENDLIST_SPECTATING_YOU;Sleduje tě
FRIENDLIST_SUGGESTED;Doporučený
FRIENDLIST_SUGGEST_TO_LOBBY;Doporučený do místnosti
FRIENDLIST_VIEW_PROFILE;Zobrazit profil
FRIENDLIST_WAITING_FOR_RECIPIENT_ACCEPTANCE;Žádost o přátelství
FX;Efekty
GAME_CONNECTION_LOST_RECONNECTING;Spojení se hrou ztraceno\nSnažíme se vás znovu připojit...
GAME_HAS_CRASHED;Hra spadla ({0}). Byla pro tento svět příliš krásná.
GEM_BONUS_AMOUNT;+ {0} Bonus
GEM_PURCHASE_POPUP_TITLE;Vyberte klenoty
GEM_PURCHASE_POPUP_TITLE_NOT_ENOUGH_GEM;Nemáte dostatek klenotů. Je načase nějaké získat!
GENERAL;Všeobecné
GENERIC_BUTTON_TEXT_PLAY;Hrát
GENERIC_BUTTON_TEXT_SHOP;Obchod
GENERIC_GAMEPLAY_ATTACK;Útok
GENERIC_GAMEPLAY_COST;Cena
GENERIC_GAMEPLAY_LIFE;Život
GENERIC_GAMEPLAY_WILD_COST;Barevná cena
GOT_IT;Chápu!
GO_TO_CRAFT_MODE;Tvorba
GO_TO_SHOP_BUTTON_TEXT;Jít do obchodu
GOLD_MINER_HIRING_TITLE;Děkuji, že jste mě zaměstnali!\nHned se pustím do práce.
GOLD_MINER_REGULAR_GOLD;Ahoj {0}.\nTady jsou tvoje střípky.
GOLD_MINER_ABOVE_AVERAGE_GOLD;Dnes jsem měl hodně štěstí v dolech!
GOLD_MINER_JACKPOT;U všech jaků, trefili jsme jackpot!
GOLD_MINER_LONG_DELAY_REGULAR_GOLD;Konečně tě zase vidím! Tady, tvoje střípky.
GOLD_MINER_LONG_DELAY_ABOVE_AVERAGE_GOLD;Konečně tě zase vidím! Tady, tvoje střípky.
GOLD_MINER_LONG_DELAY_JACKPOT;Jsi konečně zpátky! Trefili jsme jackpot!
GRAPHIC_QUALITY_HIGHER;Vyšší
GRAPHIC_QUALITY_HIGHEST;Nejvyšší
GRAPHIC_QUALITY_HIGH_IPAD;Vysoká
GRAPHIC_QUALITY_LOWER;Nížší
GRAPHIC_QUALITY_LOWEST;Nejnížší
GRAPHIC_QUALITY_LOW_IPAD;Nízká
GRAPHIC_QUALITY_TITLE;Kvalita
GUEST_ACCOUNT_NAME;Host
INFO_NB_CONNECTED;Hráčů připojeno: {0}
INFO_NB_FINDING_ARENA;Hledání Pandory: {0}
INFO_NB_FINDING_CLASSIC;Hledání Nehodnocených her: {0}
INFO_NB_FINDING_CONSTRUCTED;Hledání Hodnocených her: {0}
INFO_NB_GAMES;Ve hře: {0}
INFO_TIME_TO_FIND_GAME;Přibližný čas vyhledávání: {0}
INGAME_DEFEAT;Prohra
INGAME_OPPONENT_STILL_MULLIGAN;Protivník si stále mění karty
INGAME_ALLY_STILL_MULLIGAN;Spojenec si stále mění karty
INGAME_PANDORA_OPENS;Pandora se probouzí!
INGAME_PLAYER_TURN;Táhne {0}
INGAME_PUZZLE_SOLVED;Hádanka vyřešena!
INGAME_PUZZLE_WIN_THIS_TURN;Vyhrajte v tomto tahu!
INGAME_VERSUS;Proti
INGAME_VICTORY;Vítězství
INGAME_YOUR_TURN;Váš tah!
INVITED_TO_LOBBY;{0} vás pozval(a) do hry.
ITEM_RARITY_COMMON;Běžné
ITEM_RARITY_EPIC;Epické
ITEM_RARITY_LEGENDARY;Legendární
ITEM_RARITY_RARE;Vzácné
ITEM_VALUE;Hodnota
KEEP;UDRŽET
KICKED_FROM_LOBBY;Byli jste vyhozeni z místnosti.
LANE_COMPLETED_QUEST;Dokončeno!
LANE_NEW_QUEST;Nové!
LANE_UNLOCKED;Odemknuto!
LANGUAGE;Jazyk :
LEAGUE_UP;Vyšší liga!
LEGENDARY_CARD_LIMIT_MESSAGE;Každá legendární karta může být v balíčku jen jednou.
LEVEL;Level {0}
LOADING;Načítání
LOADING_LONG;Načítání trvá déle než obvykle.
LOBBY_ACCOUNT_SUGGESTED;Doporučený
LOBBY_DECK_PICKING_CANCELED;Výber balíčku byl zrušen: {0}.
LOBBY_GAME_INVITE_PENDING;Pozvánka nevyřízena...
LOBBY_KICK_PLAYER;Vyhodit hráče
LOBBY_PLAYERS_IN_GAME;Čeká se na hřáče co jsou stále ve hře...
LOBBY_PLAYERS_PICKING_DECKS;Hráči si vybírají balíčky...
LOBBY_PLAYER_1_STATUS;Hráč 1
LOBBY_PLAYER_2_STATUS;Hráč 2
LOBBY_READY_BUTTON_TEXT;Připraven
LOBBY_SET_PLAYER_1;Nastavit jako hráče 1
LOBBY_SET_PLAYER_2;Nastavit jako hráče 2
LOBBY_SET_SPECTATOR;Nastavit jako diváka
LOBBY_SPECTATOR_STATUS;Dívák
LOBBY_CO_OP_WITH;Po boku
MAINMENU_BUTTON_BOOSTERS;Truhly
MAINMENU_BUTTON_COLLECTION;Sbírka
MAINMENU_BUTTON_DAILY_QUESTS;Denní úkoly
MAINMENU_BUTTON_EVENT_END_TIME;Akce končí za {0} hodin a {1} minut.
MAINMENU_BUTTON_FRIEND_LIST;Seznam přátel
MAINMENU_BUTTON_HOME;Domů
MAINMENU_BUTTON_SETTINGS;Nastavení
MAINMENU_TITLE_BATTLE;BITVA
MAINMENU_TITLE_PANDORA;PANDORA
MAINMENU_TITLE_SOLO;DOBRODRUŽSTVÍ
MAINMENU_TITLE_VIEWPROFILE;Zobrazit profil
MAP_QUEST_LOCKED;Uzamčeno
MARKET_BUTTON_BUY_GEMS;Info
MARKET_CATEGORY_AVATAR;Avatar
MARKET_CATEGORY_BUNDLE;Nabídka
MARKET_CATEGORY_CARD_BACK;Rub karet
MARKET_CATEGORY_EMOTES;Hláška
MARKET_CATEGORY_ORB;Orb
MARKET_CATEGORY_WELL;Studna
MARKET_FEATURED_TAB_AVATAR;Avataři
MARKET_FEATURED_TAB_BUNDLE;Nabídky
MARKET_FEATURED_TAB_CARD_BACK;Ruby karet
MARKET_FEATURED_TAB_EMOTE;Hlášky
MARKET_FEATURED_TAB_ORB;Orby
MARKET_FEATURED_TAB_WELL;Studny
MARKET_HOW_MANY_CHEST;Kolik jich chcete?
MARKET_ITEM_CONFIRM_PURCHASE;KOUPIT
MARKET_ITEM_OWNED;Vlastněno
MARKET_MENU_FEATURED;Doporučené
MARKET_PROCESSING_ORDER;Zpracovávám...
MARKET_ROTATINGITEMS_TITLE;Denní nabídka
MARKET_TITLE;Obchod
MATCHES_FORMAT;Formát zápasu:
MISSION_PACK_NPC_REWARD_TOOLTIP;Za dokončení poslední mise tohoto balíku získáte speciálního spojence
MISSION_PACK_XP_REWARD_TOOLTIP;Za dokončení misí v tomto balíku získáte tolik zkušeností
MORNING;Ráno
MULLIGAN;Chcete si ponechat karty, nebo si líznout nové?
MULLIGAN_BUTTON_TEXT_CONFIRM;Potvrdit
MULLIGAN_HINT_TEXT;Změnit
MUSIC;Hudba
MY_CHESTS;Moje truhly
NEW_ACCOUNT_BUTTON;Vytvořit účet
NEW_ACCOUNT_LABEL;Nový ve Faerii?
NEW_ACCOUNT_WARNING;Pokud už máte Faeria účet, nebudete ho moci použít s tímto {0} účtem!
NEW_CARD_HINT;Nová
NEW_DAILY_QUEST_RECEIVED;Obdrželi jste nové denní úkoly!
NEW_DECK_NAME;Můj balíček
NIGHT;Noc
NO_DAILY_QUESTS_LEFT;Už nemáte žádné denní úkoly. Zkuste to zítra!
OBJECTIVES;Úkoly
OK;Ano
OVERSKY;Zánebí
OVERSKY_ALL_CARDS_NAME;Všechny karty ze Zánebí
OVERSKY_BUY_ISLAND_BUTTON_TEXT;Zakoupit ostrov
OVERSKY_BUY_ISLAND_TEXT;Tento ostrov nevlastníte.\nPro získání odměn za tuto misi jej musíte nejdříve zakoupit.
OVERSKY_CARD_REWARD;<size=200%><color=white>{0}</color></size> po zakoupení budou do vaší sbírky přidány nové karty
OVERSKY_ISLAND_BUNDLE_DISCOUNTED_TOOLTIP;Cena nabídky byla upravena, protože tento ostrov již vlastníte
OVERSKY_COSMETIC_SET_TOOLTIP;Obsahuje následující legendární položky: rub karet, studny, avatar a orb
OVERSKY_GET_POINTS_EMPEROR;Císařova výzva
OVERSKY_GET_POINTS_MISSION;Zánebská mise
OVERSKY_GET_POINTS_PVP;Výhra v PvP
OVERSKY_GET_POINTS_WILD_PACK;Dokončen bláznivý balík misí
OVERSKY_GET_POINTS_WORLD_BOSS;Poražen boss
OVERSKY_GETTING_POINTS;Získávání bodů pro váš vak
OVERSKY_LIMITED_BOSS_BATTLE_DESCRIPTION_OWNED;Mocný císař Mirnastu pro vás každý den připraví novou výzvu. Získejte body pro svůj vak pokaždé, když jej v daný den poprvé porazíte.
OVERSKY_LIMITED_BOSS_BATTLE_DESCRIPTION_NOT_OWNED;Mocný císař Mirnastu pro vás každý den připraví novou výzvu. S vakem získáte přístup k tomuto časově omezenému hernímu módu.
OVERSKY_LIMITED_BOSS_BATTLE_NAME;Císařova výzva
OVERSKY_ONE_ISLAND;Tento ostrov
OVERSKY_POINTS_REWARD;body pro váš vak
OVERSKY_POUCH_OWNED_CONTENT_TITLE;Vaše odměny z Vaku dobrodružství
OVERSKY_POUCH_OWNED_CONTENT_DESCRIPTION;Pokračujte ve sbírání bodů pro váš Vak dobrodružství a získejte tolik odměn, kolik jen půjde! Níže naleznete jejich seznam a zjistíte, jak postupujete.
OVERSKY_POUCH_OWNED_ENDED;Váš Vak dobrodružství se uzavřel
OVERSKY_POUCH_OWNED_END_DAYS;Váš Vak dobrodružství se otevře ihned a uzavře za {0} den/dny/dnů
OVERSKY_POUCH_OWNED_END_HOURS;Váš Vak dobrodružství se otevře ihned a uzavře se za {0} hodin(u/y) a {1} minut(u/y)
OVERSKY_POUCH_NOT_OWNED_CONTENT_TITLE;Odměny z Vaku dobrodružství
OVERSKY_POUCH_NOT_OWNED_CONTENT_DESCRIPTION;Kupte si svůj Vak dobrodružství nyní, abyste získali tyto odměny - kolik bodů dokážete nastřádat, než se Vak dobrodružství uzavře?
OVERSKY_POUCH_NOT_OWNED_ENDED;Čas vypršel! Vak dobrodružství již není dostupný.
OVERSKY_POUCH_NOT_OWNED_END_DAYS;Váš Vak dobrodružství se uzavře za {0} den/dny/dnů
OVERSKY_POUCH_NOT_OWNED_END_HOURS;Váš Vak dobrodružství se uzavře za {0} hodin(u/y) a {1} minut(u/y)
OVERSKY_POUCH_NAME;Vak dobrodružství
OVERSKY_POUCH_TIER_REWARD_EVERY_TEN;Mytická verze jedné z vašich karet ze Zánebí\n<size=60%>Pokud již máte plnou sbírku mytických karet ke všem kartám ze Zánebí, které vlastníte, získáte tuto odměnu po vašem dalším nákupu ostrova.</size>
OVERSKY_POUCH_TIER_REWARD_KAIOS_AVATAR_AND_EMOTES;Kaiův avatar a hlášky
OVERSKY_POUCH_TOOLTIP;Zvyšujte úroveň svého vaku a odemkněte exkluzivní odměny! Více informací naleznete na faeria.com/oversky.
OVERSKY_SHOP_SLIDER_ITEM_NAME;Herní obsah ze Zánebí
OVERSKY_SHOP_SLIDER_ITEM_DESCRIPTION;Zánebí je tady - získejte nový herní obsah!
OWNED_CARD_COUNT;Tuto kartu vlastníte {0}×.
PANDORA_GATE_OPENED;Vaše cesta začíná!
PANDORA_KEY_POOL_HELP_TEXT;Přetáhněte minci do středu brány a vstupte do Pandory!
PANDORA_LOSSES;Prohry
PANDORA_SHARD_1_FOUND;První střep Nalezen
PANDORA_SHARD_2_FOUND;Druhý střep Nalezen
PANDORA_SHARD_3_FOUND;Třetí střep Nalezen
PANDORA_SHARD_4_FOUND;Čtvrtý střep Nalezen
PANDORA_SHARD_5_FOUND;Poslední střep Nalezen
PANDORA_VICTORIES;Vítězství
PANTHEON_DECK_LEGENDARY_NOT_RESPECTED;Váš balíček obsahuje příliš mnoho karet: {0} . Nemůžete mít více než {1} kopií Legendární karty napříč všemi třemi balíčky.
PANTHEON_DECK_NOT_RESPECTED;Váš balíček obsahuje příliš mnoho karet: {0}. Nemůžete mít více než {1} kopií nelegendární karty napříč všemi třemi balíčky.
PASSWORDS_DO_NOT_MATCH;Hesla se neshodují
PASSWORD_FIELD_CONFIRM;Potvrďte heslo*
PASSWORD_FIELD_MANDATORY;Heslo*
PASSWORD_FIELD_NEW;Nové heslo*
PASSWORD_MANDATORY;Heslo je povinné
PASSWORD_TOO_LONG;Heslo je příliš dlouhé (max {0} znaků).
PASSWORD_TOO_SHORT;Heslo je příliš krátké.
PAUSE_MENU_TEXT;Pauza
PAUSE_MENU_TEXT_LEFT_NAME_COUNT;{0}: {1} zbývá
PINK_CHESTS_NOT_YET_AVAILABLE;Neznámá síla ti brání v přístupu k těmto truhlám. Nelze je otevřít... prozatím.
PLAY_MENU_SOLO_STANDARD;Mise
PLAY_MENU_SOLO_OVERSKY;Zánebí
PLAYER_LEFT_TOURNAMENT;Hráč '{0}' opustil turnaj. Vítězem se stává '{1}'.
PLAYER_LOST_CONNECTION;Hráč {0} ztratil spojení\nMá {1} sekund na připojení
PRACTICE_BUTTON_TEXT;Výcvik
PRIVATE_LOBBY;Soukromá místnost
PRIVATE_LOBBY_INFO;Vítejte v soukromé místnosti. Hra začne, až budou oba hráči připraveni.
PRIVATE_PLAY_ALLY_READY;Spojenec je připraven!
PRIVATE_PLAY_OPPONENT_READY;Nepřítel připraven!
PRIVATE_PLAY_PLAYER_READY;Jste připraveni!
PRIVATE_PLAY_READY;Zrušit
PROFILE_BATTLERANK_TITLE;Bitva
PROFILE_MENU_PROFILE;Profil
PROFILE_PANDORARANK_TITLE;Pandora
PROFILE_RANKINGS_TITLE;Umístění
PROLOGUE_HINT_ATTACK;Udělí tolik poškození v boji
PROLOGUE_HINT_COST;Stojí tolik faerie k zahrání
PROLOGUE_HINT_LIFE;Vydrží tolik poškození, než umře
PROLOGUE_SPEECH_BUBBLE;Pro odemknutí svých schopností dokončete tyto mise!
PROMPT_ACCOUNT_INFO_HELP_TEXT;<size=150%>Ahoj {0}!</size>\n\nMomentálně hrajete jako host.\n\nZadáním a potvrzením e-mailové adresy můžete aktivovat svůj účet a získat 2 bitevní truhly (8 karet)!
PROMPT_ACCOUNT_INFO_WELCOME;Vytváření účtu
PROMPT_ACTIVATION_CODE_SENDING_SUCCESS;Aktivační kód byl zaslán na vaši e-mailovou adresu.
PROMPT_BINDING_SUCCESS;Spojovací odkaz byl zaslán na vaší e-mailovou adresu.
PROMPT_CANCEL_GAME_SEARCHES;Tato akce zruší vyhledávání her. Přejete si pokračovat?
PROMPT_CHALLENGE_CONFIRMATION;Na tuto výzvu máte jen jeden pokus. Jste připraveni?
PROMPT_CONFIRM_USER_NAME;Vybírejte opatrně, jméno si nemůžete později změnit!
PROMPT_CRASH;Hra spadla :(
PROMPT_DECKEMPTY;Hráč prohrál kvůli prázdnému balíčku.
PROMPT_DEFEAT;Prohra
PROMPT_DELETE_DECK_CONFIRMATION;Jste si jisti, že chcete smazat tento balíček?
PROMPT_DELETE_FRIEND_CONFIRMATION;Jste si jisti, že chcete odebrat tohoto přítele?
PROMPT_DISENCHANT_ALL_IN_EXCESS;Jste si jisti, že chcete odočarovat přebytečné karty?
PROMPT_DISENCHANT_WILL_ALTER_DECKS;Pokud odočarujete tuto kartu, ovlivní to některé balíčky. Chcete pokračovat?
PROMPT_DOUBLE_KO;Hra skončila remízou!
PROMPT_DROP_RUN_CONFIRMATION;Jste si jistí že chcete odejít? Bude se to počítat jako {0} proher.
PROMPT_DUEL_PROPOSED;Byli jste vyzváni k duelu hráčem {0}.
PROMPT_EMAIL_HELP_TEXT;Ověření vašeho účtu má následující výhody:\n\n\t- Možnost obnovení hesla\n\t- Přístup na naše fóra
PROMPT_TEXT_LATER;Později
PROMPT_EMAIL_TITLE_TEXT;E-mailová adresa
PROMPT_EMAIL_WELCOME;Ověřte svůj účet a získáte 2 bitevní truhly (8 karet)!
PROMPT_EXIT_CONFIRMATION;Opravdu chcete odejít?
PROMPT_FRIENDLIST_ACCEPT_GAME_INVITE;Přimout tuto pozvánku do hry?
PROMPT_FRIENDLIST_ACCEPT_REQUEST;Přimout tuto žádost o přátelství?
PROMPT_FRIENDLIST_ACCEPT_STEAM_SUGGESTION;Přijmout toto dopuručení přítele ze Steamu?
PROMPT_FRIENDLIST_ACCEPT_SUGGESTION;Přijmout doporučení na přítele?
PROMPT_GAME_HAS_CRASHED;Hra spadla!
PROMPT_LOBBY_CANCEL_CONFIRMATION;Opravdu chcete odejít z této místnosti a zrušit ji?
PROMPT_LOBBY_LEAVE_CONFIRMATION;Opravdu chcete odejít z této místnosti?
PROMPT_MODIFICATION_CANCEL_CONFIRMATION;Změny nebyly provedeny. Přejete si je zahodit?
PROMPT_NEW_BINDING;Už máte Faeria účet?
PROMPT_NO_DECK_FOUND;Pokud chcete hrát, musíte si vytvořit balíček
PROMPT_PASSWORD_CHANGE_SUCCESS;Heslo úspěšně upraveno pro účet {0}.
PROMPT_REFUSED_INVITEE_PLAYING;Váš přítel hraje
PROMPT_REFUSED_INVITEE_SEARCHING_GAME;Váš přítel už vyhledává hru
PROMPT_RESET_PASSWORD;Obnovit heslo
PROMPT_SAVE_DECK_FIRST;Chcete uložit změny ve vašem balíčku?
PROMPT_SKIP_TUTORIAL_MESSAGE_TEXT;Vypadá to, že vám karetní hry jdou. Chcete přeskočit tutorial?
PROMPT_SKIP_TUTORIAL_TITLE_TEXT;Přeskočit tutorial
PROMPT_STEAM_CONNECTION_REQUIRED;Vyžadováno připojení ke Steamu. Prosím, spusťte Faerii skrze Steam.
PROMPT_SURRENDER_CONFIRMATION;Opravdu se chcete vzdát?
PROMPT_TEXT_NO;Ne
PROMPT_TEXT_OK;Ok
PROMPT_TEXT_YES;Ano
